SchoolID SchoolName FamilyofSchools Ward LOI2014Score LOI2014Rank LOI2011Score LOI2011Rank LOI2009Score LOI2009Rank
440 "Northview Heights Secondary School" WR3 5 0.405765 72 0.361756 75 0.322917 77
1392 "Riverdale Collegiate Institute" WR10 15 0.397729 73 0.578211 51 0.528266 58
1101 "Alternative Scarborough Education" ER14 19 0.396528 74 0.316953 77 0.314455 79
447 "Victoria Park Collegiate Institute" ER15 17 0.389551 75 0.381905 73 0.386295 70
1191 "L'Amoreaux Collegiate Institute" ER18 20 0.360126 76 0.386437 72 0.403486 67
1326 "Harbord Collegiate Institute" WR9 10 0.347237 77 0.411475 69 0.395652 69
1405 "Subway Academy II" WR9 10 0.330135 78 0.483294 64 0.366602 71
1262 "Woburn Collegiate Institute" ER14 19 0.322498 79 0.284739 80 0.332786 76
446 "Georges Vanier Secondary School" ER18 17 0.299955 80 0.358533 76 0.296953 81
1192 "Lester B Pearson Collegiate Institute" ER20 21 0.291299 81 0.315489 78 0.364031 72
444 "William Lyon Mackenzie Collegiate Institute" WR3 5 0.283881 82 0.274956 82 0.290391 82
415 "Don Mills Collegiate Institute" ER15 17 0.273648 83 0.245966 84 0.251716 85
1095 "Agincourt Collegiate Institute" ER19 21 0.273508 84 0.283897 81 0.314563 78
1102 "Delphi Secondary Alternative School" ER19 21 0.267393 85 0.204909 88 0.247976 86
1062 "Martingrove Collegiate Institute" WR4 2 0.241955 86 0.253242 83 0.222488 88
1098 "Albert Campbell Collegiate Institute" ER19 21 0.235059 87 0.222925 85 0.271067 83
1232 "Sir John A Macdonald Collegiate Institute" ER18 20 0.226979 88 0.222062 86 0.237071 87
1145 "Dr Norman Bethune Collegiate Institute" ER18 20 0.21694 89 0.220462 87 0.265824 84
1079 "Silverthorn Collegiate Institute" WR4 2 0.208671 90 0.136149 91 0.141691 92
1408 "THESTUDENTSCHOOL" WR7 7 0.192255 91 0.111764 93 0.126545 95
1071 "Richview Collegiate Institute" WR4 2 0.14121 92 0.085583 95 0.062285 102
409 "Avondale Alternative Secondary School" ER17 12 0.138342 93 0.11233 92 0.134277 93
432 "A Y Jackson Secondary School" ER17 12 0.135388 94 0.139671 90 0.134185 94
