SchoolID SchoolName FamilyofSchools Ward LOI2014Score LOI2014Rank LOI2011Score LOI2011Rank LOI2009Score LOI2009Rank
1426 "C R Marchant Middle School" WR5 6 0.835126 76 0.810691 89 0.815542 83
1090 "West Glen Junior School" WR4 2 0.83253 77 0.838154 67 0.878397 51
91 "Derrydown Public School" WR2 4 0.829833 78 0.792102 103 0.795536 95
1161 "Glen Ravine Junior Public School" ER14 19 0.828819 79 0.837105 68 0.866251 56
1454 "Warren Park Junior Public School" WR6 7 0.828618 80 0.854439 59 0.808977 999
1228 "Scarborough Village Alternative Public School" ER14 19 0.828188 81 0.720025 137 0.641735 174
1319 "General Mercer Junior Public School" WR8 9 0.82017 82 0.79497 102 0.756852 124
1020 "Secord Elementary School" ER11 16 0.819288 83 0.831343 71 0.840366 68
1186 "John McCrae Public School" ER14 19 0.819209 84 0.7647 113 0.77803 104
1303 "Dundas Junior Public School" WR10 15 0.818009 85 0.808121 93 0.755646 125
1115 "Bliss Carman Senior Public School" ER13 18 0.81306 86 0.754801 119 0.736805 133
1433 "Fairbank Memorial Community School" WR8 9 0.809759 87 0.828179 77 0.812578 85
1255 "Wexford Public School" ER12 19 0.806158 88 0.818894 83 0.770324 109
1163 "Grey Owl Junior Public School" ER20 21 0.803565 89 0.834256 69 0.808666 90
213 "Pierre Laporte Middle School" WR2 5 0.801415 90 0.741232 127 0.721201 137
1434 "Fairbank Public School" WR3 8 0.800533 91 0.787465 105 0.752655 126
1242 "Tecumseh Senior Public School" ER14 19 0.796868 92 0.780999 106 0.846084 61
1223 "Robert Service Senior Public School" ER13 18 0.796713 93 0.753275 120 0.765075 116
1187 "Joseph Brant Public School" ER13 22 0.794245 94 0.705897 151 0.659544 165
1069 "Parkfield Junior School" WR4 2 0.792896 95 0.685739 159 0.624133 186
1041 "Elmlea Junior School" WR1 1 0.787093 96 0.719697 138 0.720135 138
1157 "George B Little Public School" ER20 22 0.779079 97 0.777342 107 0.820342 79
1190 "Knob Hill Public School" ER14 19 0.777664 98 0.827335 78 0.857782 58
1384 "Parkdale Junior and Senior Public School" WR7 7 0.777617 99 0.817294 86 0.827472 74
212 "Elia Middle School" WR2 4 0.777212 100 0.752782 121 0.737533 132
1215 "Pauline Johnson Junior Public School" ER19 20 0.77465 101 0.749455 124 0.719551 139
1093 "Westmount Junior School" WR4 1 0.773722 102 0.629879 188 0.592312 204
1016 "Parkside Elementary School" ER11 16 0.769844 103 0.750698 123 0.684581 153
1225 "Samuel Hearne Middle School" ER12 18 0.769084 104 0.795308 101 0.804586 92
152 "Grenoble Public School" ER15 13 0.769024 105 0.802601 96 0.770079 111
1419 "Winchester Junior and Senior Public School" WR9 14 0.767873 106 0.79781 100 0.793361 97
1359 "Market Lane Junior and Senior Public School" WR9 14 0.767766 107 0.761715 115 0.811395 86
1443 "J R Wilcox Community School" WR8 11 0.76518 108 0.684706 160 0.646994 171
1103 "Anson Park Public School" ER13 18 0.760234 109 0.684202 161 0.645767 172
1175 "Hunter's Glen Junior Public School" ER14 19 0.758299 110 0.736754 128 0.767167 114
1259 "William Tredway Junior Public School" ER14 19 0.757357 111 0.775102 108 0.803934 93
1038 "Dixon Grove Junior Middle School" WR4 2 0.757247 112 0.679966 165 0.659531 166
1263 "Woburn Junior Public School" ER14 19 0.756366 113 0.81053 90 0.758566 122
1076 "Second Street Junior Middle School" WR6 3 0.756355 114 0.72782 132 0.62712 182
1249 "Walter Perry Junior Public School" ER13 18 0.753993 115 0.81623 87 0.821068 78
187 "Lamberton Public School" WR2 4 0.753686 116 0.669615 168 0.709324 143
90 "Daystrom Public School" WR1 4 0.753622 117 0.80591 94 0.785823 100
1127 "Charles Gordon Senior Public School" ER14 19 0.75291 118 0.745985 125 0.724186 136
